id,year,name,yrfound,plfound,aims,activities,orgtype,direct_promotion,ltrcode,democracy,cat1,demcat1,demcat_rob,demsocialism,christdem,Afghanistan,Albania,Algeria,AmericanSamoa,Andorra,Angola,AntiguaandBarbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,BahamasThe,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,BosniaandHerzegovina,Botswana,Brazil,BritishVirginIslands,BruneiDarussalam,Bulgaria,BurkinaFaso,Burundi,CaboVerde,Cambodia,Cameroon,Canada,CaymanIslands,CentralAfricanRepublic,Chad,ChannelIslands,Chile,China,Colombia,Comoros,CongoDemRep,CongoRep,CostaRica,CotedIvoire,Croatia,Cuba,Curacao,Cyprus,CzechRepublic,Czechoslovakia,Denmark,Djibouti,Dominica,DominicanRepublic,Ecuador,EgyptArabRep,ElSalvador,EquatorialGuinea,Eritrea,Estonia,Eswatini,Ethiopia,FaroeIslands,Fiji,Finland,France,FrenchPolynesia,Gabon,GambiaThe,Georgia,Germany,GermanyDR,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,GuineaBissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,IranIslamicRep,Iraq,Ireland,IsleofMan,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,KoreaDemPeoplesRep,KoreaRep,Kuwait,KyrgyzRepublic,LaoPDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,MacaoSARChina,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,MarshallIslands,Mauritania,Mauritius,Mexico,MicronesiaFedSts,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,NewCaledonia,NewZealand,Nicaragua,Niger,Nigeria,NorthMacedonia,NorthernMarianaIslands,Norway,Oman,Pakistan,Palau,Panama,PapuaNewGuinea,Paraguay,Peru,Philippines,Poland,Portugal,PuertoRico,Qatar,Romania,RussianFederation,Rwanda,Samoa,SanMarino,SaoTomeandPrincipe,SaudiArabia,Senegal,Serbia,Seychelles,SierraLeone,Singapore,SintMaartenDutchpart,SlovakRepublic,Slovenia,SolomonIslands,Somalia,SouthAfrica,SouthSudan,Spain,SriLanka,StKittsandNevis,StLucia,StMartinFrenchpart,StVincentandtheGrenadines,Sudan,Suriname,Sweden,Switzerland,SyrianArabRepublic,Tajikistan,Tanzania,Thailand,TimorLeste,Togo,Tonga,TrinidadandTobago,Tunisia,Turkey,Turkmenistan,TurksandCaicosIslands,Tuvalu,Uganda,Ukraine,UnitedArabEmirates,UnitedKingdom,UnitedStates,Uruguay,Uzbekistan,Vanuatu,VenezuelaRB,Vietnam,VirginIslandsUS,YemenPDR,YemenAR,Yemen,Zambia,Zimbabwe,cties1,cties2,dirdem,cties3
B0054,1981,Amnesty International (AI),1961,United Kingdom,"Mobilize public opinion to introduce effective international machinery to guarantee freedom of speech and religion as set out in the Universal Declaration of Human Rights; work for the release of men and women in prison for their beliefs and for the relief, where necessary, of their families.",Prisoner of Conscience Index; investigations of conditions under which prisoners are held; formation of local groups undertaking to work for the release of at least three prisoners each; missions; campaign for the abolition of torture; action against the death penalty; sending observers to attend political trials.,B,1,,0,Political Rights/Liberties/Freedoms,Civil liberties,Civil liberties,0,0,0,0,1,0,,0,0,1,,0,1,1,,1,0,1,1,,1,0,1,1,1,1,,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,,1,1,1,,1,1,0,0,1,1,1,1,0,,,1,0,1,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,0,0,1,1,,0,,1,1,1,1,0,,1,0,1,1,1,1,0,1,0,1,1,1,,,1,0,0,1,1,1,,0,1,1,1,1,0,1,1,,0,1,0,1,,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,,,1,0,1,,1,1,0,1,0,0,1,1,1,1,0,,1,1,0,0,0,1,1,0,,0,0,1,,1,1,1,0,,0,1,1,0,1,0,,1,1,128,128,,
B0111,1981,Association for the Promotion of the International Circulation of the Press (DISTRIPRESS),1955,Germany,Assist in the promotion of the freedom of the press throughout the world; support and aid UNESCO in promoting the free flow of ideas by word and image; further the interests of the press distribution trade.,,B,1,,0,Press,Civil liberties,Civil liberties,0,0,0,0,1,0,,0,0,1,,0,1,1,,1,1,0,1,,1,0,0,1,0,1,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,,0,0,1,,0,1,0,0,0,0,1,0,0,,,0,0,0,0,1,1,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,,0,0,0,1,1,,0,,1,0,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,1,,,0,0,0,1,0,0,,0,0,1,0,1,0,0,1,,0,1,0,0,,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,,,0,0,1,,1,0,0,0,0,0,0,0,1,1,1,,1,0,0,0,0,0,1,1,,0,0,0,,1,0,1,0,,0,1,0,0,0,0,,0,0,66,66,,
B1152,1981,International Alliance of Women (IAW),1902,United States,"Promote all reforms as are necessary to establish a real equality of liberties, status, and opportunities between men and women; urge women to use their rights and influence in public life to ensure that the status of every individual, without distinction of sex, race, or creed, shall be based on respect for human personality, the only guarantee for individual freedom; take part in constructive work for good understanding between nations",,B,1,,0,Legal Equality,Rule of law,Rule of law,0,0,0,0,0,0,,0,0,0,,0,1,0,,1,0,1,1,,0,0,0,0,0,0,,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,,0,1,0,0,0,0,1,0,0,,,0,1,0,0,1,1,0,0,0,,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,,0,0,0,0,0,,0,,1,1,1,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,,,0,0,0,1,0,0,,0,1,1,0,0,0,0,1,,0,1,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,0,0,0,,0,1,0,0,0,0,0,0,1,1,0,,0,1,0,1,0,1,1,1,,0,0,0,,0,1,1,0,,0,0,0,0,0,0,,0,0,54,54,,
B1270,1981,International Association of Democratic Lawyers (IADL),1946,France,"Facilitate contact and exchange among lawyers in order to develop a spirit of mutual understanding and fraternity; encourage study of legal science and international law and support democratic principles favourable to maintenance of peace and cooperation between nations; promote independence of all peoples, and oppose any restriction thereof, whether by legislation or practice","Research on legal problems; study and practice of the principles of democracy making for the maintenance of peace and cooperation between nations, defense and development of democratic rights and liberties in legislation and in the practice of law.",B,1,,1,Lawyers,Rule of law,Rule of law,0,0,0,1,1,0,,0,0,1,,0,0,1,,0,0,1,0,,1,0,0,0,0,1,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,,1,0,1,,0,1,0,0,1,1,1,0,0,,,0,0,0,0,1,1,0,0,0,,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,,0,0,1,0,0,,0,,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,1,,,0,1,0,1,0,1,,0,1,1,0,0,0,0,1,,0,0,0,1,,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,,1,1,0,0,0,0,1,0,0,1,1,,1,0,0,0,0,0,0,0,,0,0,1,,0,1,1,0,,0,1,1,0,0,0,,0,0,64,64,1,64
B1396,1981,International Bar Association,1947,United States,"Establish and maintain permanent relations and exchanges between Bar Associations throughout the world and their members; discuss problems of professional organization and status; advanced the science of jurisprudence in all its phases; by common study of practical legal problems, promote uniformity and definition in appropriate fields of law; promote the administration of justice under law among peoples of the world; in execution of these objects promote in their legal aspects the principles and aims of the United Nations and cooperate with, and promote coordination among, international juridical organizations having similar purposes.","Extensive work in such fields as: restoration of the law after World War II; nationalization, confiscation and expropriation; investments abroad; coastal waters and appurtenant subsoil; foreign Estates; international shipbuilding contracts; international judicial cooperation; double taxation; domestic relations; atomic operations; sovereign immunity; foreign subsidiaries. Section on Business Law (22 committees) formed 1970. Section on General Practice (17 committees) formed 1974. Set up International Legal Aid Association (ILAA). Standing committees: finance; planning; seminars; constitutional review; nominations; membership; member organizations; European affairs; ombudsman; IBa-UIA Joint Committee; United Nations affairs; professional ethics; human rights; Law Asia Liaison.",B,0,,0,Lawyers,Rule of law,Rule of law,0,0,0,0,0,0,,0,0,1,,0,0,1,,1,0,1,1,,1,1,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,,0,1,1,,0,1,0,0,0,0,1,0,0,,,0,0,0,0,1,1,0,0,1,,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,,1,0,1,1,1,,0,,1,1,1,0,1,,1,0,0,1,1,0,0,1,0,0,1,1,,,1,0,0,0,0,1,,0,0,1,0,0,1,0,1,,0,1,0,1,,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,,,0,0,1,,1,1,0,0,0,0,0,0,1,1,1,,1,0,0,0,0,1,0,1,,0,0,0,,1,1,1,0,,0,1,1,1,0,0,,1,1,86,86,,
B1550,1981,International Commission of Jurists (ICJ),1952,Germany,"Support and advance those principles of justice which constitute the basis of the Rule of Law; mobilize jurists of the world in support of the Rule of Law through public meetings, conferences and congresses, publications, and other appropriate types of activities","World enquiry into the definition of the Rule of Law; observers at trials; reports on situations (Spain, Portugal, South Africa, Turkey, Cuba, Pakistan, Uganda, Chile, Uruguay, Iran; Rhodesia, Philippines, etc.); missions and visits to countries; participation in UN seminars; international exchanges; activities for law students and young lawyers.",B,1,v,0,Rule of Law,Rule of law,Rule of law,0,0,0,0,0,0,,0,0,1,,0,1,1,,0,0,1,0,,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,,0,0,1,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,1,1,0,0,0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,,1,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,1,,,0,0,0,0,0,0,,0,1,1,0,1,1,0,1,,0,1,0,1,,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,1,0,1,,0,0,0,,0,1,1,0,,0,1,0,0,0,0,,1,0,49,49,,
B1763,1981, International Council of Women (ICW),1888,United States,"Bring together women's organizations of all races and creeds from all parts of the world for consultation on action to be taken to promote the welfare of mankind, of the family and of the individual; help make women aware, not only of the rights but also of their civic, social and political responsibilities to society as a whole; work for the removal of all disabilities for women.","Has supported from the beginning the ideas of international peace and arbitration, equal legal status for women (including suffrage and rights of citizenship, equal pay for equal work), family and child welfare. International standing committees (13) on: Arts and letters (with a sub-committee on music); Child and family; economics; education; environment and habitat; health; home economics; International relations and peace; laws and status of women; mass media; migration; social welfare; women and employment. Study of questions which affect the status of women and their capacity to play an active part in all aspects of life. Regional seminars on human rights, literacy, education, the advancement of women and their participation in economic and social development.",B,0,,0,Legal Equality,Rule of law,Rule of law,0,0,0,0,0,0,,0,0,1,,0,1,1,,1,0,0,1,,1,0,0,0,0,1,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,,0,0,0,,0,1,0,0,1,1,1,0,0,,,0,0,0,1,1,1,0,0,1,,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,,1,0,0,1,0,,0,,1,1,1,0,0,,1,0,1,0,1,0,0,1,0,0,0,1,,,0,0,0,1,0,1,,0,1,1,0,1,0,1,1,,0,1,0,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,0,0,1,,0,0,0,0,0,0,0,1,1,1,1,,1,1,0,0,0,1,1,1,,0,0,1,,0,1,1,1,,0,0,0,0,0,0,,0,1,72,72,,
B2205,1981,International League for Human Rights (ILHR),1941,United States,"Application of those guarantees of civil, political, economic and social rights contained in the Universal Declaration of Human Rights adopted by the UN in 1948 and in the International Covenants on Human Rights.","Works to implement international human rights standards and agreements, adopted by the UN and other intergovernmental bodies. Investigates human rights violations; intervenes directly with governments; makes representations before international bodies; conducts research and educational programmes; publishes special reports on human rights conditions; assists victims; sends observers to political trials; dispatches special investigative missions to inquire into specific violations and effect redress; supports and helps establish human rights groups in different countries; works to establish international human rights standards. Public and private meetings. Annual Human Rights Prize awarded. ",B,1,,0,Political Rights/Liberties/Freedoms,Civil liberties,Civil liberties,0,0,0,0,0,0,,0,0,0,,0,0,1,,0,0,1,0,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,,0,0,0,1,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,,,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,,0,0,0,,0,1,1,0,,0,0,0,0,0,0,,0,0,24,24,,
B2325,1981,International Organization of Journalists (IOJ),1946,Denmark,"By free and true information, help maintain peace and friendship among nations; defend freedom of the press and journalists, and fight for their better material and social position; support fully friendly cooperation of all journalists throughout the world and help to achieve their unity.","Investigation of various professional and social problems of journalists, professional training, specific branches of journalistic activities, working conditions and social welfare (wages, medical treatment, pensions). Conferences, seminars, symposia, training courses. Permanent international commissions: Professional Questions; Social Problems. Specialized international professional sections and clubs (press photography, agriculture, radio and TV, automobilism). International press photography exhibitions INTERPRESSFOTO. Permanent international training center in Budapest. International journalists' houses at Black Sea (Bulgaria) and Lake Balaton (Hungary).",B,1,,0,Press,Civil liberties,Civil liberties,0,0,1,1,1,0,,1,0,1,,0,1,1,,0,0,1,0,,1,0,1,0,0,1,,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,,1,0,1,,1,1,0,0,1,1,1,1,0,,,0,1,0,0,1,1,0,0,1,,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,,1,0,1,0,1,,1,,1,0,0,1,0,,1,0,1,1,1,0,1,0,0,1,1,1,,,0,1,0,1,1,1,,0,1,1,0,1,1,0,1,,0,1,0,1,,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,,,0,1,1,,1,1,0,0,0,0,1,0,1,1,1,,1,0,0,1,0,1,1,1,,0,0,1,,0,1,1,1,,0,1,1,0,1,0,,0,1,107,107,,
B2343,1981,International PEN,1921,United Kingdom,"Promote and maintain friendship and intellectual cooperation between men of letters in all countries in the interests of literature, freedom of expression and international goodwill. PEN is not concerned with state or party politics and must not be used to serve their interests.","Local meetings organized individually by Centres, many of which publish their own newsletters, books and pamphlets. PEN Writers in Prison Committee works for the release of writers imprisoned for expressing their opinions.",B,1,,0,Press,Civil liberties,Civil liberties,0,0,0,0,0,0,,0,0,1,,0,1,1,,0,0,1,0,,1,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,,0,0,1,,1,1,0,0,0,1,1,0,0,,,0,0,0,0,1,1,0,0,0,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,,0,0,0,1,0,,0,,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,,1,0,0,0,0,0,,0,0,1,0,1,0,0,0,,0,1,0,0,,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,,0,0,1,,1,0,0,0,0,0,0,0,1,1,0,,0,1,0,0,0,0,0,1,,0,0,0,,0,1,1,0,,0,1,0,0,0,0,,0,1,55,55,,
