Country,Eigencentrality
Afghanistan,0.762614318
Albania,0.762614318
Algeria,0.9983436012
Angola,0.762614318
Argentina,1
Australia,0.9983436012
Austria,0.9983436012
Bangladesh,0.9867306475
Belgium,0.9983436012
Benin,0.9867306475
Bolivia,1
Brazil,1
Bulgaria,0.8196356266
Cameroon,0.9867306475
Canada,1
Chile,1
China,0.9867306475
Colombia,1
CongoDemRep,0.9983436012
CongoRep,0.9983436012
CostaRica,1
CotedIvoire,0.9867306475
Cuba,0.9883870463
Cyprus,0.9983436012
Denmark,0.9983436012
DominicanRepublic,0.9883870463
Ecuador,0.9883870463
EgyptArabRep,0.9983436012
ElSalvador,0.9883870463
Ethiopia,0.762614318
Finland,0.9983436012
France,0.9983436012
GambiaThe,0.9867306475
Germany,0.9983436012
Ghana,0.9867306475
Greece,0.9983436012
Guinea,0.762614318
GuineaBissau,0.762614318
Guyana,0.9883870463
Honduras,0.9867306475
Hungary,0.9983436012
India,0.9983436012
Indonesia,0.9983436012
IranIslamicRep,0.9983436012
Iraq,0.9983436012
Italy,0.9983436012
Jamaica,1
Japan,0.9983436012
Jordan,0.9983436012
Kenya,0.9867306475
Kuwait,0.9983436012
LaoPDR,0.8407654037
Lebanon,0.9983436012
Libya,0.9867306475
Luxembourg,0.9983436012
Madagascar,0.9867306475
Malawi,0.9867306475
Malaysia,0.9867306475
Mali,0.762614318
Mauritania,0.9867306475
Mauritius,0.9867306475
Mexico,1
Mongolia,0.762614318
Morocco,0.9983436012
Mozambique,0.9867306475
Nepal,0.9867306475
Netherlands,0.9983436012
NewZealand,0.9983436012
Nicaragua,0.7927253988
Nigeria,0.9983436012
Norway,0.9983436012
Pakistan,0.9867306475
Panama,0.9883870463
Paraguay,0.9883870463
Peru,1
Poland,0.9983436012
Portugal,0.9983436012
PuertoRico,1
Romania,0.8196356266
RussianFederation,0.9867306475
Senegal,0.9867306475
SierraLeone,0.9867306475
Somalia,0.762614318
SouthAfrica,0.9983436012
Spain,0.9983436012
SriLanka,0.9867306475
Sudan,0.9867306475
Sweden,0.9983436012
Switzerland,0.9983436012
SyrianArabRepublic,0.8528413573
Tanzania,0.9983436012
Togo,0.762614318
TrinidadandTobago,0.9883870463
Tunisia,0.9983436012
Turkey,0.9090020672
Uganda,0.9867306475
UnitedKingdom,0.9867306475
UnitedStates,1
Uruguay,0.7999867141
VenezuelaRB,1
Vietnam,0.9867306475
Zimbabwe,0.9867306475
BahamasThe,0.9277196155
Bahrain,0.4926885073
Barbados,0.9070857752
Bermuda,0.9211667562
Botswana,0.8817406836
BurkinaFaso,0.8817406836
Chad,0.8817406836
Eswatini,0.8817406836
Fiji,0.8953762031
Gabon,0.8817406836
Grenada,0.8817406836
Guatemala,0.8958216647
Haiti,0.9094571841
Iceland,0.9081558333
Ireland,0.9326585485
Israel,0.9264182646
KoreaRep,0.9264182646
Lesotho,0.8817406836
Liberia,0.8817406836
Liechtenstein,0.4926885073
Malta,0.9136386344
Monaco,0.901602974
Niger,0.8817406836
PapuaNewGuinea,0.8953762031
Philippines,0.9081558333
Qatar,0.4926885073
Rwanda,0.8817406836
SaudiArabia,0.9070857752
Serbia,0.9198654054
Seychelles,0.8817406836
Singapore,0.9070857752
Suriname,0.8817406836
Thailand,0.901602974
UnitedArabEmirates,0.9070857752
Zambia,0.8953762031
Belize,0.2052426554
