Country,Eigencentrality
Afghanistan,0.9941369921
Albania,1
Algeria,1
Angola,1
Argentina,1
Aruba,0.9940940058
Australia,1
Austria,1
BahamasThe,0.9879396582
Bahrain,1
Bangladesh,1
Barbados,0.9940940058
Belgium,1
Belize,0.9879396582
Benin,1
Bermuda,0.9879396582
Bolivia,1
Botswana,1
Brazil,1
BruneiDarussalam,0.9938456524
Bulgaria,1
BurkinaFaso,1
Burundi,1
Cameroon,1
Canada,1
CentralAfricanRepublic,0.9940940058
Chad,0.9938411533
Chile,1
China,0.9939716448
Colombia,1
Comoros,0.8979094096
CongoDemRep,1
CongoRep,1
CostaRica,1
CotedIvoire,1
Cuba,1
Curacao,0.9234846832
Cyprus,1
Denmark,1
DominicanRepublic,1
Ecuador,1
EgyptArabRep,1
ElSalvador,1
Eswatini,1
Ethiopia,1
Fiji,0.9939716448
Finland,1
France,1
Gabon,1
GambiaThe,1
Germany,1
Ghana,1
Gibraltar,0.9437135319
Greece,1
Grenada,1
Guatemala,1
Guinea,0.9940940058
GuineaBissau,0.9875566275
Guyana,0.9940940058
Haiti,1
Honduras,1
Hungary,1
Iceland,1
India,1
Indonesia,1
IranIslamicRep,0.9941369921
Iraq,0.9941369921
Ireland,1
Israel,1
Italy,1
Jamaica,1
Japan,1
Jordan,1
Kenya,1
KoreaDemPeoplesRep,0.9045699915
KoreaRep,1
Kuwait,1
LaoPDR,0.9938411533
Lebanon,1
Lesotho,1
Liberia,0.9879396582
Libya,0.9939716448
Liechtenstein,0.9881086369
Luxembourg,1
Madagascar,1
Malawi,1
Malaysia,1
Maldives,0.9941369921
Mali,1
Malta,1
Mauritania,1
Mauritius,1
Mexico,1
Monaco,0.9881086369
Mongolia,1
Morocco,1
Mozambique,1
Myanmar,0.9881086369
Nepal,1
Netherlands,1
NewZealand,1
Nicaragua,1
Niger,1
Nigeria,1
Norway,1
Oman,0.9941369921
Pakistan,1
Panama,1
PapuaNewGuinea,1
Paraguay,1
Peru,1
Philippines,1
Poland,1
Portugal,1
PuertoRico,1
Qatar,0.9941369921
Romania,1
RussianFederation,1
Rwanda,1
SanMarino,0.9429857413
SaoTomeandPrincipe,0.9875566275
SaudiArabia,0.9939716448
Senegal,1
Serbia,1
Seychelles,1
SierraLeone,1
Singapore,1
SolomonIslands,0.9879396582
Somalia,1
SouthAfrica,1
Spain,1
SriLanka,1
StLucia,0.9882309979
Sudan,1
Suriname,0.9938411533
Sweden,1
Switzerland,1
SyrianArabRepublic,0.9881086369
Tanzania,1
Thailand,1
Togo,1
TrinidadandTobago,1
Tunisia,1
Turkey,1
Uganda,1
UnitedArabEmirates,0.9881086369
UnitedKingdom,1
UnitedStates,1
Uruguay,1
VenezuelaRB,1
Vietnam,1
VirginIslandsUS,0.963163178
Zambia,1
Zimbabwe,1
