Country,Eigencentrality
Albania,0.9907177493
Algeria,1
Argentina,0.9982653918
Aruba,0.9615141506
Australia,0.9982653918
Austria,0.9982653918
BahamasThe,0.9841354444
Bangladesh,0.9982653918
Barbados,0.9841354444
Belgium,0.9982653918
Belize,0.9841354444
Bermuda,0.9841354444
Bolivia,0.9982653918
Botswana,1
Brazil,0.9982653918
Bulgaria,0.9982653918
BurkinaFaso,1
Cameroon,1
Canada,0.9982653918
CentralAfricanRepublic,0.9778109689
Chile,0.9982653918
China,0.9982653918
Colombia,0.9982653918
Comoros,0.2171817898
CongoDemRep,0.9982653918
CongoRep,1
CostaRica,0.9982653918
CotedIvoire,1
Cuba,0.9982653918
Cyprus,0.9982653918
Denmark,0.9982653918
DominicanRepublic,0.9982653918
Ecuador,0.9982653918
EgyptArabRep,1
ElSalvador,0.9982653918
Ethiopia,1
Fiji,0.9841354444
Finland,0.9982653918
France,0.9982653918
Gabon,1
GambiaThe,0.9982653918
Germany,0.9982653918
Ghana,1
Greece,0.9982653918
Guatemala,0.9982653918
Guyana,0.9841354444
Haiti,0.9982653918
Honduras,0.9982653918
Hungary,0.9982653918
Iceland,0.9982653918
India,0.9982653918
Indonesia,0.9982653918
IranIslamicRep,0.9982653918
Iraq,0.9982653918
Ireland,0.9982653918
Israel,0.9982653918
Italy,0.9982653918
Jamaica,0.9912590274
Japan,0.9982653918
Jordan,0.9982653918
Kenya,0.9982653918
KoreaDemPeoplesRep,0.9225870044
KoreaRep,0.9982653918
Kuwait,0.9982653918
Lebanon,0.9982653918
Lesotho,0.9982653918
Liberia,0.9858700526
Libya,1
Liechtenstein,0.9982653918
Luxembourg,0.9982653918
Madagascar,1
Malawi,1
Malaysia,0.9982653918
Mali,1
Malta,0.9982653918
Mauritius,0.9982653918
Mexico,0.9982653918
Monaco,0.9982653918
Mongolia,0.9982653918
Morocco,1
Mozambique,1
Myanmar,0.9982653918
Nepal,0.9982653918
Netherlands,0.9982653918
NewZealand,0.9982653918
Nicaragua,0.9982653918
Niger,0.9982653918
Nigeria,1
Norway,0.9982653918
Pakistan,0.9982653918
Panama,0.9982653918
Paraguay,0.9982653918
Peru,0.9982653918
Philippines,0.9982653918
Poland,0.9982653918
Portugal,0.9982653918
PuertoRico,0.9838309028
Romania,0.9982653918
RussianFederation,0.9982653918
SanMarino,0.90724584
SaudiArabia,0.9982653918
Senegal,1
Serbia,0.9982653918
Seychelles,0.9621594791
SierraLeone,0.9982653918
Singapore,0.9982653918
Somalia,0.9908445105
SouthAfrica,1
Spain,0.9908372672
SriLanka,0.9912590274
Sudan,1
Suriname,0.9982653918
Sweden,0.9982653918
Switzerland,0.9982653918
SyrianArabRepublic,0.9982653918
Tanzania,1
Thailand,0.9982653918
Togo,1
TrinidadandTobago,0.9982653918
Tunisia,1
Turkey,0.9982653918
Uganda,1
UnitedArabEmirates,0.9982653918
UnitedKingdom,0.9982653918
UnitedStates,0.9908372672
Uruguay,0.9982653918
VenezuelaRB,0.9982653918
Vietnam,0.9982653918
VirginIslandsUS,0.9767073198
Zambia,0.9982653918
Zimbabwe,1
